SchemaName	TableName	ColumnName	DataType	max_length	precision	scale	is_nullable	is_identity
----------	---------	----------	--------	----------	---------	-----	-----------	-----------
dbo	AspNetRoles	Id	nvarchar	256	0	0	0	0
dbo	AspNetRoles	Name	nvarchar	512	0	0	0	0
dbo	AspNetUserClaims	Id	int	4	10	0	0	1
dbo	AspNetUserClaims	UserId	nvarchar	256	0	0	0	0
dbo	AspNetUserClaims	ClaimType	nvarchar	-1	0	0	1	0
dbo	AspNetUserClaims	ClaimValue	nvarchar	-1	0	0	1	0
dbo	AspNetUserLogins	LoginProvider	nvarchar	256	0	0	0	0
dbo	AspNetUserLogins	ProviderKey	nvarchar	256	0	0	0	0
dbo	AspNetUserLogins	UserId	nvarchar	256	0	0	0	0
dbo	AspNetUserRoles	UserId	nvarchar	256	0	0	0	0
dbo	AspNetUserRoles	RoleId	nvarchar	256	0	0	0	0
dbo	AspNetUsers	Id	nvarchar	256	0	0	0	0
dbo	AspNetUsers	FirstName	nvarchar	-1	0	0	1	0
dbo	AspNetUsers	LastName	nvarchar	-1	0	0	1	0
dbo	AspNetUsers	AlternativeEmail	nvarchar	512	0	0	1	0
dbo	AspNetUsers	DOB	datetime	8	23	3	1	0
dbo	AspNetUsers	Country	nvarchar	512	0	0	1	0
dbo	AspNetUsers	State	nvarchar	512	0	0	1	0
dbo	AspNetUsers	Address	nvarchar	512	0	0	1	0
dbo	AspNetUsers	Zip	nvarchar	20	0	0	1	0
dbo	AspNetUsers	AreaOfInterest	nvarchar	512	0	0	1	0
dbo	AspNetUsers	Qualification	nvarchar	512	0	0	1	0
dbo	AspNetUsers	IsBlocked	bit	1	1	0	0	0
dbo	AspNetUsers	Email	nvarchar	512	0	0	1	0
dbo	AspNetUsers	EmailConfirmed	bit	1	1	0	0	0
dbo	AspNetUsers	PasswordHash	nvarchar	-1	0	0	1	0
dbo	AspNetUsers	SecurityStamp	nvarchar	-1	0	0	1	0
dbo	AspNetUsers	PhoneNumber	nvarchar	-1	0	0	1	0
dbo	AspNetUsers	PhoneNumberConfirmed	bit	1	1	0	0	0
dbo	AspNetUsers	TwoFactorEnabled	bit	1	1	0	0	0
dbo	AspNetUsers	LockoutEndDateUtc	datetime	8	23	3	1	0
dbo	AspNetUsers	LockoutEnabled	bit	1	1	0	0	0
dbo	AspNetUsers	AccessFailedCount	int	4	10	0	0	0
dbo	AspNetUsers	UserName	nvarchar	512	0	0	0	0
dbo	AspNetUsers	DoctorDesignation	nvarchar	200	0	0	1	0
dbo	AspNetUsers	DoctorSignaturePath	nvarchar	600	0	0	1	0
dbo	ClientApplication	Id	int	4	10	0	0	1
dbo	ClientApplication	Name	nvarchar	512	0	0	0	0
dbo	ClientApplication	Description	nvarchar	2048	0	0	0	0
dbo	ClientApplication	AccessKey	nvarchar	100	0	0	0	0
dbo	ClientApplication	ActivityDate	datetime2	8	27	7	1	0
dbo	ClientApplication	ActivityMember	nvarchar	512	0	0	1	0
dbo	ClientApplication	RefreshTokenLifeTime	int	4	10	0	0	0
dbo	ClientApplication	AllowedOrigin	nvarchar	200	0	0	1	0
dbo	ClientApplication	ModulesAPI	nvarchar	-1	0	0	1	0
dbo	ContainerMaster	Id	int	4	10	0	0	1
dbo	ContainerMaster	Code	nvarchar	40	0	0	0	0
dbo	ContainerMaster	Name	nvarchar	200	0	0	0	0
dbo	ContainerMaster	Color	nvarchar	100	0	0	1	0
dbo	ContainerMaster	IsActive	bit	1	1	0	0	0
dbo	ContainerMaster	CreatedBy	nvarchar	-1	0	0	1	0
dbo	ContainerMaster	CreatedOn	datetime	8	23	3	0	0
dbo	ContainerMaster	ModifiedBy	nvarchar	-1	0	0	1	0
dbo	ContainerMaster	ModifiedOn	datetime	8	23	3	0	0
dbo	ControlResultDetails	Id	bigint	8	19	0	0	1
dbo	ControlResultDetails	LISParamCode	nvarchar	-1	0	0	1	0
dbo	ControlResultDetails	LISParamValue	nvarchar	-1	0	0	1	0
dbo	ControlResultDetails	LISParamUnit	nvarchar	-1	0	0	1	0
dbo	ControlResultDetails	CreatedBy	nvarchar	-1	0	0	1	0
dbo	ControlResultDetails	CreatedOn	datetime	8	23	3	0	0
dbo	ControlResultDetails	ControlResultId	bigint	8	19	0	0	0
dbo	ControlResults	Id	bigint	8	19	0	0	1
dbo	ControlResults	SampleNo	nvarchar	-1	0	0	1	0
dbo	ControlResults	ResultDate	datetime	8	23	3	0	0
dbo	ControlResults	CreatedBy	nvarchar	-1	0	0	1	0
dbo	ControlResults	CreatedOn	datetime	8	23	3	0	0
dbo	ControlResults	EquipmentId	int	4	10	0	0	0
dbo	CorporateMaster	Id	int	4	10	0	0	1
dbo	CorporateMaster	Code	nvarchar	40	0	0	0	0
dbo	CorporateMaster	Name	nvarchar	200	0	0	0	0
dbo	CorporateMaster	Address	nvarchar	400	0	0	1	0
dbo	CorporateMaster	Phone	nvarchar	30	0	0	1	0
dbo	CorporateMaster	ContactPerson	nvarchar	200	0	0	1	0
dbo	CorporateMaster	DefaultDiscountPercent	decimal	9	18	2	0	0
dbo	CorporateMaster	IsActive	bit	1	1	0	0	0
dbo	CorporateMaster	CreatedBy	nvarchar	-1	0	0	1	0
dbo	CorporateMaster	CreatedOn	datetime	8	23	3	0	0
dbo	CorporateMaster	ModifiedBy	nvarchar	-1	0	0	1	0
dbo	CorporateMaster	ModifiedOn	datetime	8	23	3	0	0
dbo	Department	Code	nvarchar	30	0	0	0	0
dbo	Department	Name	nvarchar	110	0	0	0	0
dbo	Department	ProcessingCategory	nvarchar	40	0	0	0	0
dbo	EquipmentHeartBeat	Id	int	4	10	0	0	1
dbo	EquipmentHeartBeat	AccessKey	nvarchar	100	0	0	0	0
dbo	EquipmentHeartBeat	IsAlive	bit	1	1	0	0	0
dbo	EquipmentHeartBeat	CreatedBy	nvarchar	-1	0	0	1	0
dbo	EquipmentHeartBeat	CreatedOn	datetime	8	23	3	0	0
dbo	EquipmentMaster	Id	int	4	10	0	0	1
dbo	EquipmentMaster	Name	nvarchar	-1	0	0	1	0
dbo	EquipmentMaster	Model	nvarchar	-1	0	0	1	0
dbo	EquipmentMaster	AccessKey	nvarchar	100	0	0	0	0
dbo	EquipmentMaster	IsActive	bit	1	1	0	0	0
dbo	EquipmentMaster	CreatedBy	nvarchar	-1	0	0	1	0
dbo	EquipmentMaster	CreatedOn	datetime	8	23	3	0	0
dbo	HISParameterMaster	Id	int	4	10	0	0	1
dbo	HISParameterMaster	HISTestCode	nvarchar	-1	0	0	1	0
dbo	HISParameterMaster	HISParamCode	nvarchar	-1	0	0	1	0
dbo	HISParameterMaster	HISParamDescription	nvarchar	-1	0	0	1	0
dbo	HISParameterMaster	HISParamUnit	nvarchar	-1	0	0	1	0
dbo	HISParameterMaster	HISParamMethod	nvarchar	-1	0	0	1	0
dbo	HISParameterMaster	LISParamCode	nvarchar	-1	0	0	1	0
dbo	HISParameterMaster	CreatedOn	datetime	8	23	3	0	0
dbo	HISParameterMaster	HisTestId	int	4	10	0	1	0
dbo	HISParameterRangMaster	Id	int	4	10	0	0	1
dbo	HISParameterRangMaster	HISRangeCode	nvarchar	-1	0	0	1	0
dbo	HISParameterRangMaster	HISRangeValue	nvarchar	-1	0	0	1	0
dbo	HISParameterRangMaster	Gender	nvarchar	-1	0	0	1	0
dbo	HISParameterRangMaster	AgeFrom	decimal	9	18	2	0	0
dbo	HISParameterRangMaster	AgeTo	decimal	9	18	2	0	0
dbo	HISParameterRangMaster	AgeType	nvarchar	-1	0	0	1	0
dbo	HISParameterRangMaster	MinValue	decimal	9	18	2	0	0
dbo	HISParameterRangMaster	MaxValue	decimal	9	18	2	0	0
dbo	HISParameterRangMaster	CreatedOn	datetime	8	23	3	0	0
dbo	HISParameterRangMaster	HisParameterId	int	4	10	0	0	0
dbo	HISSpecimenMaster	Id	int	4	10	0	0	1
dbo	HISSpecimenMaster	Code	nvarchar	-1	0	0	1	0
dbo	HISSpecimenMaster	Name	nvarchar	-1	0	0	1	0
dbo	HISSpecimenMaster	IsActive	bit	1	1	0	0	0
dbo	HISSpecimenMaster	CreatedBy	nvarchar	-1	0	0	1	0
dbo	HISSpecimenMaster	CreatedOn	datetime	8	23	3	0	0
dbo	HISTestMaster	Id	int	4	10	0	0	1
dbo	HISTestMaster	HISTestCode	nvarchar	-1	0	0	1	0
dbo	HISTestMaster	HISTestCodeDescription	nvarchar	-1	0	0	1	0
dbo	HISTestMaster	HISSpecimenCode	nvarchar	-1	0	0	1	0
dbo	HISTestMaster	HISSpecimenName	nvarchar	-1	0	0	1	0
