FKName	ChildTable	ChildCol	ParentTable	ParentCol
------	----------	--------	-----------	---------
FK_dbo.AspNetUserClaims_dbo.AspNetUsers_UserId	dbo.AspNetUserClaims	UserId	dbo.AspNetUsers	Id
FK_dbo.AspNetUserLogins_dbo.AspNetUsers_UserId	dbo.AspNetUserLogins	UserId	dbo.AspNetUsers	Id
FK_dbo.AspNetUserRoles_dbo.AspNetRoles_RoleId	dbo.AspNetUserRoles	RoleId	dbo.AspNetRoles	Id
FK_dbo.AspNetUserRoles_dbo.AspNetUsers_UserId	dbo.AspNetUserRoles	UserId	dbo.AspNetUsers	Id
FK_dbo.ControlResultDetails_dbo.ControlResults_ControlResultId	dbo.ControlResultDetails	ControlResultId	dbo.ControlResults	Id
FK_dbo.ControlResults_dbo.EquipmentMaster_EquipmentId	dbo.ControlResults	EquipmentId	dbo.EquipmentMaster	Id
FK_dbo.HISParameterMaster_dbo.HISTestMaster_HisTestId	dbo.HISParameterMaster	HisTestId	dbo.HISTestMaster	Id
FK_dbo.HISParameterRangMaster_dbo.HISParameterMaster_HisParameterId	dbo.HISParameterRangMaster	HisParameterId	dbo.HISParameterMaster	Id
FK_dbo.HISTestMaster_dbo.Department_DepartmentCode	dbo.HISTestMaster	DepartmentCode	dbo.Department	Code
FK_PatientVisit_PatientDetails	dbo.PatientVisit	PatientId	dbo.PatientDetails	Id
FK_PatientVisit_SaleInvoice	dbo.PatientVisit	SaleInvoiceId	dbo.SaleInvoice	Id
FK_RadiologyRequest_Patient	dbo.RadiologyRequestDetail	PatientId	dbo.PatientDetails	Id
FK_RadiologyRequestDetail_PatientVisit	dbo.RadiologyRequestDetail	PatientVisitId	dbo.PatientVisit	PatientVisitId
FK_RadiologyResult_Request	dbo.RadiologyResultDetail	RadiologyRequestId	dbo.RadiologyRequestDetail	Id
FK_RoleMenuPermission_App	dbo.RoleMenuPermission	ApplicationId	dbo.ClientApplication	Id
FK_RoleMenuPermission_Module	dbo.RoleMenuPermission	ModuleId	dbo.UserModules	Id
FK_RoleMenuPermission_Role	dbo.RoleMenuPermission	RoleId	dbo.AspNetRoles	Id
FK_dbo.RoleModuleMappings_dbo.AspNetRoles_RoleId	dbo.RoleModuleMappings	RoleId	dbo.AspNetRoles	Id
FK_dbo.RoleModuleMappings_dbo.ClientApplication_ApplicationId	dbo.RoleModuleMappings	ApplicationId	dbo.ClientApplication	Id
FK_dbo.RoleModuleMappings_dbo.UserModules_ModuleId	dbo.RoleModuleMappings	ModuleId	dbo.UserModules	Id
FK_dbo.SaleInvoice_dbo.PatientDetails_PatientId	dbo.SaleInvoice	PatientId	dbo.PatientDetails	Id
FK_dbo.SaleInvoice_dbo.TestRequestDetails_RequestDetailId	dbo.SaleInvoice	RequestDetailId	dbo.TestRequestDetails	Id
FK_SaleInvoice_PatientVisit	dbo.SaleInvoice	PatientVisitId	dbo.PatientVisit	PatientVisitId
FK_dbo.SaleInvoiceDetail_dbo.HISTestMaster_TestId	dbo.SaleInvoiceDetail	TestId	dbo.HISTestMaster	Id
FK_dbo.SaleInvoiceDetail_dbo.SaleInvoice_SaleInvoiceId	dbo.SaleInvoiceDetail	SaleInvoiceId	dbo.SaleInvoice	Id
FK_SaleInvoiceDetail_TestRequestDetails	dbo.SaleInvoiceDetail	RequestDetailId	dbo.TestRequestDetails	Id
FK_dbo.TestMappingMaster_dbo.EquipmentMaster_EquipmentId	dbo.TestMappingMaster	EquipmentId	dbo.EquipmentMaster	Id
FK_TestParameterMappingMaster_HisParameter	dbo.TestParameterMappingMaster	HisParameterId	dbo.HISParameterMaster	Id
FK_TestParameterMappingMaster_HisTest	dbo.TestParameterMappingMaster	HisTestId	dbo.HISTestMaster	Id
FK_dbo.TestParameters_dbo.TestRequestDetails_TestRequestDetailsId	dbo.TestParameters	TestRequestDetailsId	dbo.TestRequestDetails	Id
FK_dbo.TestProfileDetail_dbo.HISTestMaster_TestId	dbo.TestProfileDetail	TestId	dbo.HISTestMaster	Id
FK_dbo.TestProfileDetail_dbo.TestProfileMaster_TestProfileId	dbo.TestProfileDetail	TestProfileId	dbo.TestProfileMaster	Id
FK_dbo.TestRateMaster_dbo.HISTestMaster_TestId	dbo.TestRateMaster	TestId	dbo.HISTestMaster	Id
FK_dbo.TestRequestDetails_dbo.PatientDetails_PatientId	dbo.TestRequestDetails	PatientId	dbo.PatientDetails	Id
FK_TestRequestDetails_PatientVisit	dbo.TestRequestDetails	PatientVisitId	dbo.PatientVisit	PatientVisitId
FK_dbo.TestResultDetails_dbo.TestResults_TestResultId	dbo.TestResultDetails	TestResultId	dbo.TestResults	Id
FK_dbo.TestResults_dbo.EquipmentMaster_EquipmentId	dbo.TestResults	EquipmentId	dbo.EquipmentMaster	Id
FK_dbo.TestResults_dbo.PatientDetails_PatientId	dbo.TestResults	PatientId	dbo.PatientDetails	Id
FK_dbo.TestResults_dbo.TestRequestDetails_TestRequestId	dbo.TestResults	TestRequestId	dbo.TestRequestDetails	Id
FK_dbo.UserApplicationMappings_dbo.AspNetUsers_UserId	dbo.UserApplicationMappings	UserId	dbo.AspNetUsers	Id
FK_dbo.UserApplicationMappings_dbo.ClientApplication_ClientApplicationId	dbo.UserApplicationMappings	ClientApplicationId	dbo.ClientApplication	Id
FK_dbo.UserModules_dbo.ClientApplication_ApplicationId	dbo.UserModules	ApplicationId	dbo.ClientApplication	Id
