SchemaName	TableName	IndexName	type_desc	is_unique	is_primary_key	is_unique_constraint	user_seeks	user_scans	user_lookups	user_updates
----------	---------	---------	---------	---------	--------------	--------------------	----------	----------	------------	------------
dbo	AspNetRoles	PK_dbo.AspNetRoles	CLUSTERED	1	1	0	190	0	0	0
dbo	AspNetRoles	RoleNameIndex	NONCLUSTERED	1	0	0	183	146	0	0
dbo	AspNetUserClaims	IX_UserId	NONCLUSTERED	0	0	0	0	0	0	0
dbo	AspNetUserClaims	PK_dbo.AspNetUserClaims	CLUSTERED	1	1	0	0	30	0	0
dbo	AspNetUserLogins	IX_UserId	NONCLUSTERED	0	0	0	30	0	0	0
dbo	AspNetUserLogins	PK_dbo.AspNetUserLogins	CLUSTERED	1	1	0	0	0	0	0
dbo	AspNetUserRoles	IX_RoleId	NONCLUSTERED	0	0	0	2	0	0	0
dbo	AspNetUserRoles	IX_UserId	NONCLUSTERED	0	0	0	183	0	0	0
dbo	AspNetUserRoles	PK_dbo.AspNetUserRoles	CLUSTERED	1	1	0	16	0	0	0
dbo	AspNetUsers	PK_dbo.AspNetUsers	CLUSTERED	1	1	0	83	91	2	5
dbo	AspNetUsers	UserNameIndex	NONCLUSTERED	1	0	0	6	0	0	4
dbo	ClientApplication	PK_dbo.ClientApplication	CLUSTERED	1	1	0	90	263	0	0
dbo	ContainerMaster	PK_dbo.ContainerMaster	CLUSTERED	1	1	0	0	0	0	0
dbo	ControlResultDetails	IX_ControlResultId	NONCLUSTERED	0	0	0	0	0	0	0
dbo	ControlResultDetails	PK_dbo.ControlResultDetails	CLUSTERED	1	1	0	0	0	0	0
dbo	ControlResults	IX_EquipmentId	NONCLUSTERED	0	0	0	1	2	0	0
dbo	ControlResults	PK_dbo.ControlResults	CLUSTERED	1	1	0	0	0	0	0
dbo	CorporateMaster	PK_dbo.CorporateMaster	CLUSTERED	1	1	0	13	25	0	6
dbo	Department	PK_dbo.Department	CLUSTERED	1	1	0	42	924	0	0
dbo	EquipmentHeartBeat	PK_dbo.EquipmentHeartBeat	CLUSTERED	1	1	0	0	384147	0	0
dbo	EquipmentMaster	PK_dbo.EquipmentMaster	CLUSTERED	1	1	0	33	2571	0	3
dbo	HISParameterMaster	IX_HisTestId	NONCLUSTERED	0	0	0	0	1	0	8
dbo	HISParameterMaster	PK_dbo.HISParameterMaster	CLUSTERED	1	1	0	21	262	0	8
dbo	HISParameterRangMaster	IX_HisParameterId	NONCLUSTERED	0	0	0	1	0	0	8
dbo	HISParameterRangMaster	PK_dbo.HISParameterRangMaster	CLUSTERED	1	1	0	16	68	1	8
dbo	HISSpecimenMaster	PK_dbo.HISSpecimenMaster	CLUSTERED	1	1	0	13	23	0	9
dbo	HISTestMaster	IX_DepartmentCode	NONCLUSTERED	0	0	0	0	1	0	2
dbo	HISTestMaster	PK_dbo.HISTestMaster	CLUSTERED	1	1	0	93	1149	0	2
dbo	MethodMaster	PK_dbo.MethodMaster	CLUSTERED	1	1	0	0	3	0	0
dbo	MigrationHistory	PK_dbo.MigrationHistory	CLUSTERED	1	1	0	0	0	0	0
dbo	PatientDetails	PK_dbo.PatientDetails	CLUSTERED	1	1	0	16437	264	0	4
dbo	PatientDetails	UX_PatientDetails_MRNo	NONCLUSTERED	1	0	0	0	0	0	4
dbo	PatientDetails	UX_PatientDetails_VisitId	NONCLUSTERED	1	0	0	0	0	0	4
dbo	PatientVisit	IX_PatientVisit_PatientId	NONCLUSTERED	0	0	0	46	0	0	9
dbo	PatientVisit	PK_PatientVisit	CLUSTERED	1	1	0	97	10	46	9
dbo	PatientVisit	UX_PatientVisit_VisitId	NONCLUSTERED	1	0	0	0	0	0	9
dbo	RadiologyRequestDetail	IX_RadiologyRequest_Patient	NONCLUSTERED	0	0	0	0	0	0	3
dbo	RadiologyRequestDetail	IX_RadiologyRequest_Status	NONCLUSTERED	0	0	0	0	0	0	3
dbo	RadiologyRequestDetail	PK__Radiolog__3214EC077F080DA2	CLUSTERED	1	1	0	15	22	0	3
dbo	RadiologyResultDetail	PK__Radiolog__3214EC073C1F85AC	CLUSTERED	1	1	0	2	0	9	2
dbo	RadiologyResultDetail	UX_RadiologyResult_Request	NONCLUSTERED	1	0	0	9	0	0	2
dbo	ReferralDoctorMaster	PK_dbo.ReferralDoctorMaster	CLUSTERED	1	1	0	17	35	0	8
dbo	RefreshTokens	PK_dbo.RefreshTokens	CLUSTERED	1	1	0	42	43	0	85
dbo	RoleMenuPermission	IX_RoleMenuPermission_ApplicationId	NONCLUSTERED	0	0	0	1	0	0	2
dbo	RoleMenuPermission	IX_RoleMenuPermission_ModuleId	NONCLUSTERED	0	0	0	0	0	0	2
dbo	RoleMenuPermission	IX_RoleMenuPermission_RoleId	NONCLUSTERED	0	0	0	1	1	0	2
dbo	RoleMenuPermission	IX_RoleMenuPermission_Unique	NONCLUSTERED	1	0	0	0	6	0	3
dbo	RoleMenuPermission	PK_RoleMenuPermission	CLUSTERED	1	1	0	0	10	2	3
dbo	RoleModuleMappings	IX_ApplicationId	NONCLUSTERED	0	0	0	0	0	0	117
dbo	RoleModuleMappings	IX_ModuleId	NONCLUSTERED	0	0	0	1	0	0	117
dbo	RoleModuleMappings	IX_RoleId	NONCLUSTERED	0	0	0	0	0	0	117
