ObjectType	SchemaName	ObjectName	create_date	modify_date
----------	----------	----------	-----------	-----------
TABLE	dbo	AspNetRoles	2026-06-27 11:00:51.053	2026-07-11 19:29:04.997
TABLE	dbo	AspNetUserClaims	2026-06-27 11:00:51.067	2026-06-27 11:00:51.093
TABLE	dbo	AspNetUserLogins	2026-06-27 11:00:51.070	2026-06-27 11:00:51.093
TABLE	dbo	AspNetUserRoles	2026-06-27 11:00:51.057	2026-06-27 11:00:51.090
TABLE	dbo	AspNetUsers	2026-06-27 11:00:51.063	2026-07-01 22:30:12.290
TABLE	dbo	ClientApplication	2026-06-27 11:00:51.030	2026-07-11 19:29:05.000
TABLE	dbo	ContainerMaster	2026-06-27 11:00:57.897	2026-06-27 11:00:57.897
TABLE	dbo	ControlResultDetails	2026-06-27 11:00:57.903	2026-06-27 11:00:57.973
TABLE	dbo	ControlResults	2026-06-27 11:00:57.907	2026-06-27 11:00:57.977
TABLE	dbo	CorporateMaster	2026-06-27 11:00:57.910	2026-06-27 11:00:57.910
TABLE	dbo	Department	2026-06-27 11:00:57.913	2026-06-27 11:00:58.193
TABLE	dbo	EquipmentHeartBeat	2026-06-27 11:00:57.913	2026-06-27 11:00:57.913
TABLE	dbo	EquipmentMaster	2026-06-27 11:00:57.910	2026-06-27 11:00:57.993
TABLE	dbo	HISParameterMaster	2026-06-27 11:00:57.917	2026-07-06 21:15:48.583
TABLE	dbo	HISParameterRangMaster	2026-06-27 11:00:57.920	2026-06-27 11:00:57.980
TABLE	dbo	HISSpecimenMaster	2026-06-27 11:00:57.920	2026-06-27 11:00:57.920
TABLE	dbo	HISTestMaster	2026-06-27 11:00:57.917	2026-07-06 21:15:48.583
TABLE	dbo	MethodMaster	2026-06-27 11:00:57.923	2026-06-27 11:00:57.923
TABLE	dbo	MigrationHistory	2026-06-27 11:00:51.093	2026-06-27 11:00:51.093
TABLE	dbo	PatientDetails	2026-06-27 11:00:57.927	2026-07-09 23:49:13.057
TABLE	dbo	PatientVisit	2026-07-09 23:49:13.040	2026-07-09 23:49:13.160
TABLE	dbo	RadiologyRequestDetail	2026-06-27 11:00:58.127	2026-07-09 23:49:13.160
TABLE	dbo	RadiologyResultDetail	2026-06-27 11:00:58.130	2026-06-27 11:00:58.133
TABLE	dbo	ReferralDoctorMaster	2026-06-27 11:00:57.927	2026-06-27 11:00:57.927
TABLE	dbo	RefreshTokens	2026-06-27 11:00:51.060	2026-06-27 11:00:51.060
TABLE	dbo	RoleMenuPermission	2026-07-11 19:29:04.980	2026-07-11 19:29:05.017
TABLE	dbo	RoleModuleMappings	2026-06-27 11:00:51.050	2026-06-27 11:00:51.090
TABLE	dbo	SaleInvoice	2026-06-27 11:00:57.933	2026-07-09 23:49:13.107
TABLE	dbo	SaleInvoiceDetail	2026-06-27 11:00:57.930	2026-07-08 23:31:41.330
TABLE	dbo	SampleRejectionReasonMaster	2026-06-27 11:00:58.123	2026-06-27 11:00:58.127
TABLE	dbo	SampleTypeMaster	2026-06-27 11:00:57.940	2026-06-27 11:00:57.940
TABLE	dbo	TestCategoryMaster	2026-06-27 11:00:57.943	2026-06-27 11:00:57.943
TABLE	dbo	TestGroupMaster	2026-06-27 11:00:57.943	2026-06-27 11:00:57.943
TABLE	dbo	TestMappingMaster	2026-06-27 11:00:57.947	2026-07-06 21:15:48.543
TABLE	dbo	TestParameterMappingMaster	2026-07-06 21:15:48.570	2026-07-06 21:15:48.570
TABLE	dbo	TestParameters	2026-06-27 11:00:57.950	2026-06-27 11:00:57.990
TABLE	dbo	TestProfileDetail	2026-06-27 11:00:57.953	2026-06-27 11:00:57.993
TABLE	dbo	TestProfileMaster	2026-06-27 11:00:57.957	2026-06-27 11:00:57.990
TABLE	dbo	TestRateMaster	2026-06-27 11:00:57.960	2026-06-27 11:00:57.993
TABLE	dbo	TestRequestDetails	2026-06-27 11:00:57.937	2026-07-09 23:49:13.140
TABLE	dbo	TestResultDetails	2026-06-27 11:00:57.960	2026-07-06 21:15:48.523
TABLE	dbo	TestResults	2026-06-27 11:00:57.967	2026-07-06 21:15:48.310
TABLE	dbo	UnitMaster	2026-06-27 11:00:57.970	2026-06-27 11:00:57.970
TABLE	dbo	UserApplicationMappings	2026-06-27 11:00:51.060	2026-06-27 11:00:51.093
TABLE	dbo	UserModules	2026-06-27 11:00:51.040	2026-07-11 19:29:04.997
